Received Timestamp (ns),Sent Timestamp (ns),Difference (ns)
1730382033175295300,1730382031845873260,1329422040
1730382033185954000,1730382031855985076,1329968924
1730382033195910200,1730382031866095865,1329814335
1730382033205896300,1730382031876206653,1329689647
1730382033216363500,1730382031886327363,1330036137
1730382033226366100,1730382031896438704,1329927396
1730382033236422900,1730382031906550449,1329872451
1730382033246638000,1730382031916661246,1329976754
1730382033255974700,1730382031926772321,1329202379
1730382033266413500,1730382031936883139,1329530361
1730382033276949400,1730382031946996777,1329952623
1730382033287070900,1730382031957112259,1329958641
1730382033296351900,1730382031967222887,1329129013
1730382033307349200,1730382031977334317,1330014883
1730382033316470800,1730382031987445563,1329025237
1730382033326876300,1730382031997555702,1329320598
1730382033337383200,1730382032007666807,1329716393
1730382033347811600,1730382032017777599,1330034001
1730382033357812000,1730382032027887910,1329924090
1730382033367803700,1730382032038002414,1329801286
1730382033377799900,1730382032048124695,1329675205
1730382033387795400,1730382032058235393,1329560007
1730382033398088000,1730382032068346226,1329741774
1730382033407628600,1730382032078455971,1329172629
1730382033417701300,1730382032088566741,1329134559
1730382033428206800,1730382032098677759,1329529041
1730382033438836900,1730382032108800755,1330036145
1730382033447900600,1730382032118917975,1328982625
1730382033458509200,1730382032129029324,1329479876
1730382033469011600,1730382032139140736,1329870864
1730382033479010300,1730382032149251274,1329759026
1730382033488949600,1730382032159364808,1329584792
1730382033498946200,1730382032169476392,1329469808
1730382033509105600,1730382032179588264,1329517336
1730382033519300500,1730382032189698445,1329602055
1730382033529464500,1730382032199809147,1329655353
1730382033539459700,1730382032209919089,1329540611
1730382033549456500,1730382032220029618,1329426882
1730382033559641300,1730382032230141398,1329499902
1730382033569758400,1730382032240255913,1329502487
1730382033579915700,1730382032250388955,1329526745
1730382033590147700,1730382032260500202,1329647498
1730382033600278100,1730382032270611685,1329666415
1730382033610007900,1730382032280723414,1329284486
1730382033620381700,1730382032290836842,1329544858
1730382033630420300,1730382032300947594,1329472706
1730382033640951000,1730382032311058195,1329892805
1730382033651039600,1730382032321171782,1329867818
1730382033660447200,1730382032331281978,1329165222
1730382033671059100,1730382032341394649,1329664451
1730382033681313700,1730382032351505399,1329808301
1730382033691224500,1730382032361627739,1329596761
